Time (s),Illuminance (lux),Timestamp,Condition
49.402,175.05,2026-01-12 00:36:58.568,Transition
49.505,192.96,2026-01-12 00:36:58.671,Transition
49.608,166.7,2026-01-12 00:36:58.774,Transition
49.708,168.12,2026-01-12 00:36:58.874,Transition
49.807,161.37,2026-01-12 00:36:58.973,Transition
49.908,175.05,2026-01-12 00:36:59.074,Transition
50.008,179.75,2026-01-12 00:36:59.174,Transition
50.108,167.49,2026-01-12 00:36:59.274,Transition
50.208,187.35,2026-01-12 00:36:59.374,Transition
50.308,173.03,2026-01-12 00:36:59.474,Transition
50.408,216.34,2026-01-12 00:36:59.574,Transition
50.508,165.82,2026-01-12 00:36:59.674,Transition
50.602,168.92,2026-01-12 00:36:59.768,Transition
50.702,195.41,2026-01-12 00:36:59.868,Transition
50.798,159.9,2026-01-12 00:36:59.964,Transition
50.897,187.0,2026-01-12 00:37:00.063,Transition
50.998,162.15,2026-01-12 00:37:00.164,Transition
